rung,fold,seed,source,n_rows,n_positive,positive_prevalence,mean_predicted_proba,std_predicted_proba
frozen_probe,0,42,bipia,50,50,1.0,0.5336314219236374,0.06172326910351781
frozen_probe,0,42,deepset_prompt_injections,170,170,1.0,0.4849745035171509,0.17206551134586334
frozen_probe,0,42,deepset_prompt_injections,170,170,1.0,0.4798750877380371,0.17519298195838928
frozen_probe,0,42,injecagent,62,62,1.0,0.5585689799439523,0.11788538096528149
frozen_probe,0,42,jbb_behaviors,200,100,0.5,0.3908144412562251,0.14489200149463063
frozen_probe,0,42,notinject,339,0,0.0,0.4557869592599109,0.18892915822173884
frozen_probe,0,42,xstest,450,200,0.4444444444444444,0.4035178111162451,0.15380121266309088
frozen_probe,0,43,bipia,50,50,1.0,0.40580359160900115,0.08676444589149344
frozen_probe,0,43,deepset_prompt_injections,170,170,1.0,0.5209193825721741,0.1547594964504242
frozen_probe,0,43,deepset_prompt_injections,170,170,1.0,0.5350813865661621,0.15556879341602325
frozen_probe,0,43,injecagent,62,62,1.0,0.46146119554196635,0.1409275618617212
frozen_probe,0,43,jbb_behaviors,200,100,0.5,0.40729384958744047,0.1647005579500847
frozen_probe,0,43,notinject,339,0,0.0,0.4600658941035953,0.18811405179641175
frozen_probe,0,43,xstest,450,200,0.4444444444444444,0.40163888910578355,0.13797552754013406
frozen_probe,0,44,bipia,50,50,1.0,0.5020608335733414,0.11077805372708836
frozen_probe,0,44,deepset_prompt_injections,170,170,1.0,0.5342758893966675,0.16123735904693604
frozen_probe,0,44,deepset_prompt_injections,170,170,1.0,0.5301808714866638,0.16541482508182526
frozen_probe,0,44,injecagent,62,62,1.0,0.5063180000551285,0.1413461346918137
frozen_probe,0,44,jbb_behaviors,200,100,0.5,0.360623567327857,0.13138940819389114
frozen_probe,0,44,notinject,339,0,0.0,0.4613484935203133,0.17813113670280104
frozen_probe,0,44,xstest,450,200,0.4444444444444444,0.4656841037008497,0.11700486785337733
frozen_probe,1,42,bipia,50,50,1.0,0.5739140039682389,0.10524968002986133
frozen_probe,1,42,injecagent,62,62,1.0,0.4152173469624212,0.13709598797369138
frozen_probe,1,42,jbb_behaviors,200,100,0.5,0.32818755876272915,0.12757789867081545
frozen_probe,1,42,lakera_gandalf_ignore_instructions,525,525,1.0,0.667209267616272,0.12563353776931763
frozen_probe,1,42,lakera_gandalf_ignore_instructions,525,525,1.0,0.6825249791145325,0.124776691198349
frozen_probe,1,42,notinject,339,0,0.0,0.45801436021967973,0.23552202795702104
frozen_probe,1,42,xstest,450,200,0.4444444444444444,0.46614086545175976,0.15418628601908818
frozen_probe,1,43,bipia,50,50,1.0,0.4134004351496696,0.08586954561118496
frozen_probe,1,43,injecagent,62,62,1.0,0.4607549994703262,0.1379403855793486
frozen_probe,1,43,jbb_behaviors,200,100,0.5,0.40698269963264466,0.15682158084412437
frozen_probe,1,43,lakera_gandalf_ignore_instructions,525,525,1.0,0.7057859897613525,0.11502248793840408
frozen_probe,1,43,lakera_gandalf_ignore_instructions,525,525,1.0,0.7141754031181335,0.11398746818304062
frozen_probe,1,43,notinject,339,0,0.0,0.4521076184832065,0.18242079496268745
frozen_probe,1,43,xstest,450,200,0.4444444444444444,0.4075337692681286,0.13691962134126429
frozen_probe,1,44,bipia,50,50,1.0,0.5319443422555924,0.11131656528205398
frozen_probe,1,44,injecagent,62,62,1.0,0.4960783635897021,0.13959722296498595
frozen_probe,1,44,jbb_behaviors,200,100,0.5,0.3561672404780984,0.12629128924748345
frozen_probe,1,44,lakera_gandalf_ignore_instructions,525,525,1.0,0.7225815653800964,0.10836390405893326
frozen_probe,1,44,lakera_gandalf_ignore_instructions,525,525,1.0,0.7288893461227417,0.10906678438186646
frozen_probe,1,44,notinject,339,0,0.0,0.46655715314072493,0.18284087014041941
frozen_probe,1,44,xstest,450,200,0.4444444444444444,0.4750365595685111,0.11707363808862635
frozen_probe,2,42,bipia,50,50,1.0,0.7187663543224335,0.08743178427065774
frozen_probe,2,42,injecagent,62,62,1.0,0.5293821065175918,0.122106469421075
frozen_probe,2,42,jbb_behaviors,200,100,0.5,0.4186930698901415,0.1483892710752699
frozen_probe,2,42,lakera_mosscap_prompt_injection,2362,2362,1.0,0.5186767578125,0.19270369410514832
frozen_probe,2,42,lakera_mosscap_prompt_injection,2362,2362,1.0,0.5197162628173828,0.19456341862678528
