timestamp,target,est_cost_usd,actual_cost_usd,gpu_hours,api_calls,notes
pid-frozen-probe-20260517T053302Z,pid-phase2-frozen-probe,0.8416,0.8416,0.565,0,gpu_id=NVIDIA A100-SXM4-80GB state=None dc=US-MD-1
pid-frozen-probe-20260517T151217Z,pid-phase2-frozen-probe,0.9432,0.9432,0.633,0,gpu_id=NVIDIA A100-SXM4-80GB state=None dc=US-MD-1
pid-lora-20260517T172550Z,pid-phase2-lora,0.8946,0.8946,0.6,0,gpu_id=NVIDIA A100-SXM4-80GB state=RUNNING dc=US-MD-1
pid-full-ft-20260518T025405Z,pid-phase2-full-ft,0.4207,0.4207,0.282,0,gpu_id=NVIDIA A100-SXM4-80GB state=RUNNING dc=US-MD-1
manual-20260517T155912Z,pid-phase2-frozen-probe,2.13,2.13,1.433,0,gpu_id=NVIDIA A100-SXM4-80GB state=deleted dc=US-MD-1
manual-full-ft-20260517T192349Z,pid-phase2-full-ft,1.61,1.61,1.071,0,gpu_id=NVIDIA A100-SXM4-80GB state=deleted dc=US-MD-1
manual-full-ft-failed-20260518T025405Z,pid-phase2-full-ft-X11-then-2rung-ood-recovery,7.14,7.14,4.79,0,gpu_id=NVIDIA A100-SXM4-80GB state=deleted dc=US-MD-1
manual-lora-20260517T172549Z,pid-phase2-lora,1.76,1.76,1.184,0,gpu_id=NVIDIA A100-SXM4-80GB state=still-running-for-full-ft-chain dc=US-MD-1
pid-deberta-20260519T035209Z,pid-v1-1-2-deberta-ablation,0.0476,0.0476,0.0320,0,gpu_id=NVIDIA A100-SXM4-80GB state=RUNNING dc=unknown
pid-deberta-20260519T035720Z,pid-v1-1-2-deberta-ablation,0.2401,0.2401,0.1611,0,gpu_id=NVIDIA A100-SXM4-80GB state=None dc=unknown
pid-deberta-20260519T041251Z,pid-v1-1-2-deberta-ablation,0.2300,0.2300,0.1544,0,gpu_id=NVIDIA A100-SXM4-80GB state=None dc=unknown
pid-deberta-20260519T042705Z,pid-v1-1-2-deberta-ablation,0.0452,0.0452,0.0303,0,gpu_id=NVIDIA A100-SXM4-80GB state=RUNNING dc=unknown
pid-deberta-20260519T043151Z,pid-v1-1-2-deberta-ablation,0.0455,0.0455,0.0305,0,gpu_id=NVIDIA A100-SXM4-80GB state=RUNNING dc=unknown
pid-deberta-20260519T043520Z,pid-v1-1-2-deberta-ablation,0.1971,0.1971,0.1323,0,gpu_id=NVIDIA A100-SXM4-80GB state=RUNNING dc=unknown
pid-deberta-20260519T045118Z,pid-v1-1-2-deberta-ablation,0.1699,0.1699,0.1140,0,gpu_id=NVIDIA A100-SXM4-80GB state=RUNNING dc=unknown
pid-deberta-20260519T050342Z,pid-v1-1-2-deberta-ablation,0.1824,0.1824,0.1224,0,gpu_id=NVIDIA A100-SXM4-80GB state=RUNNING dc=unknown
pid-deberta-20260519T051159Z,pid-v1-1-2-deberta-ablation,0.1828,0.1828,0.1227,0,gpu_id=NVIDIA A100-SXM4-80GB state=RUNNING dc=unknown
